english,cebuano
my daughter has two cats,ako anak nga babayi kay naay duha ka iring
my son is a student,ako anak nga lalaki kay studyante
my brother has one son,ako igsuon nga lalaki ky naay usa ka anak nga lalaki
this is my house,ako ni balay
my name is Maya,ako pangalan kay Maya
my house is white,ang ako balay kay puti
our dream is to visit Paris,ang amo damgo kay mubisita sa Paris
her daughter is a student,ang iya anak nga babayi kay studyante
his hobby is reading books,ang iya lingaw kay magbasa ug libro
his sisters are young,ang iya mga igsuon nga babayi ky bata pa
his brothers are young,ang iya mga igsuon nga lalaki ky bata pa
where do you live?,asa ka nagpuyo?
Where is the airport?,asa man ang paluparan?
don't leave me,ayaw ko biya-e
I don't speak French,di ko musulti ug French
their house is not far,di man layo ang ila balay
we will not come late,di mi muabot nga ulhi
we will not come late,Di mi muabot nga ulhi
can't she play chess?,di siya kaduwa ug chess?
he cannot see us,di siya kita nato
this is not the correct phrase,dili ni mao nga sinultian
Go straight,diretso lang
I like our breakfast,ganahan ko sa amo pamahaw
I want a sandwich without onions,ganahan ko ug pan nga naay palaman nga walay sibuyas
they visited her yesterday,gibisita siya nila gahapon
he gave them food,gihatagaan niya sila ug pagkaon
did you read the third book?,ima ba gibasa ang ikatulo nga libro?
your brother lives here,imu igsuon nga lalaki kay nagpuyo diri
your country is big,imu nasud kay dako
her mother cooks for us,iya inahan kay nagluto para namo
those stars are shiny,kadtong mga bituon kay sinaw
that restaurant is far,kana nga kan-anan kay layo
do you understand me now?,kasabot naka nako karon?
these apples are delicious,kini nga mga mansanas kay lami
Turn right,liko sa tuo
Turn left,liko sa wa
This is very expensive,mahal ni kaayo
does she speak Chinese?,makastorya siya ug Chinese?
can she help us?,makatabang ba na siya nato?
Can you help me?,makatabang ka nako?
we are happy here,malipayon mi diri
they are happy now,malipayon na sila karon
this is my second lesson,mao ni ako ikaduha nga leksyon
he is taller than her,mas taas pa siya kaysa niya
she can speak German,maskasulti siya ug German
new books are expensive,mga bago nga libro kay mahal
I am your friend,migo man ko nimu
I eat without a knife,mukaon ko nga walay kutsilyo
I speak one language,mustorya ko ug usa ka linguahe
we speak three languages,mustorya mi ug tulo ka linguahe
she speaks seven languages,musulti siya ug pito ka linguahe
do you have milk?,naa ba kay gatas?
I have a small green house,naa ko'y gamay nga balay nga berde
I have milk and coffee,naa ko'y gatas ug kape
I have three dogs,naa ko'y tulo ka iro
Is this seat taken?,naa naglingkod diri nga lingkuranan?
she only has one apple,naa ra siya'y usa ka mansanas
she has five red shoes,naa siya'y lima ka pula nga sapatos
she has a tall sister,naa siya'y taason nga igsuon nga babayi
he has a tall brother,naa siya'y taason nga igsuon nga lalaki
she has three small dogs,naa siya'y tulo ka gagmay nga iro
he has three dogs,naa siya'y tulo ka iro
he has three apples,naa siya'y tulo ka mansanas
they bought milk and bread,nagpalit sila ug gatas ug pan
we live in a small house,nagpuyo mi sa gamay nga balay
she lives near the church,nagpuyo siya duol sa kapilya
she wrote him a letter,nagsuwat siya ug suwat para niya
I understand you,nakasabot ko nimu
I need help immediately,nanginahanglan ko ug tabang karon dayun
he came with his small dog,niabot siya uban iya gamay nga iro
he visits many countries,nibisita siya ug daghang nasud
I'm good. Thank You.,Okay rako. Salamat
you speak very fast,paspasa man ka musulti
I will always love you,pirmi tika higugmaon
can you come with me?,pwede ka muuban nako? 
can I help you?,Pwede ko makatabang ko nimu?
Can I help you?,pwede ko makatabang ko nimu?
can you tell me your name?,pwede ko nimu sultian sa imu pangalan?
can we learn German together?,pwede mag-uban ug kat-on ug German?
this language is very easy,sayon rajud ni nga linguahe
I will give you money,tagaan tika ug kwarta
how much is this?,tagpila man ni?
How much is this?,tagpila man ni?
what is your name?,unsa imu pangalan?
Then,unya
I'm vegetarian,utan ra ako kaonon
she is very intelligent,utukan siya kaayo
I don't understand you,wa ko kasabot nimu
she didn't visit Germany,wala siya nibisita sa Germany
no problem,way problema
how are you?,musta man ka?
and you?,ikaw?
what is your name?,unsa imu pangan?
my name is Maya,ako pangalan kay Maya
nice to meet,you maaung pakigkita nimu
Do you speak (English/ Cebuano)?,makastorya ka ug (Iningles/ cebuano)?
Just a little,ginagmay lang
I like Cebuano,ganahan ko ug cebuano
Can I practice with you?,pwede ko magpraktis kauban nimu?
How old are you?,pila na imu edad?
I'm thirty three years old,trayntay tres na ako edad
It was nice talking to you,nindot kaau makigstorya nimu
Help,tabang
Call the ambulance,tawagi ang ambulansya
I need a doctor,nanginahanglan ko ug duktor
Where is the closest pharmacy?,asa man ang pinakaduol nga botika
Are you okay?,okay raka?
I am sick,gihilantan ko
Call the police,tawagi ang pulis
What do you mean?,Unsay imu buot pasabot?
I don't understand,Wa ko kasabot
I don't know,Wa ko kahibaw
What is that called in Cebuano?,Unsay tawag ana sa cebuano?
What is this?,Unsa ni?
What does that phrase mean in English?,Unsay pasabot ana nga sinultian sa Iningles?
Sorry (if you made a mistake),pasaylo
Where are you from?,Asa man ka gikan?
I'm from the U.S,Gikan ko sa U.S
I'm American,Americano ko
Where do you live?,Asa ka nagpuyo?
I live in the U.S,Nagpuyo ko sa U.S
What do you do for a living?,Unsa man imu panginabuhi?
I'm a student,Estudyante ko
Happy birthday,malipayong kaadlawan
Happy new year,Malipayong bag-ong tuig
Merry Christmas,Malipayong pasko
Good luck,Maayong swerte
I have a reservation (hotel),naa koy reserba
Do you have rooms available?,naa pa may bakante nga kwarto?
I would like a non-smoking room,Ganahan ko ug kwarto nga bawal manigarilyo
What is the charge per night?,Pilay bayad kada gabi-e
